kod,tabaka,probe,probe_alt,kanun,madde,gold,N_hucre,n_hucre,agirlik,tuzak
4,A_rastgele,P2_sayisal,P2_swap,TBDY,7.6.1.2,YANLIS,29,17,1.705882,0
8,A_rastgele,P3_anakronizm,P3_yil,3194,0,YANLIS,15,15,1.000000,0
16,A_rastgele,P6_guncellik,P6_yil,3194,50,DOGRU,114,18,6.333333,0
22,B_bayrakli,P5_capraz,P5_maddeshift,YDUY,8,YANLIS,40,24,1.666667,0
27,A_rastgele,P6_guncellik,P6_degismedi,YDUY,31,YANLIS,114,18,6.333333,0
29,A_rastgele,P1_dogrudan,P1_verbatim,YDUY,14,DOGRU,153,22,6.954545,0
31,A_rastgele,P1_dogrudan,P1_verbatim,TBDY,8.3.1.7,DOGRU,153,22,6.954545,0
33,B_bayrakli,P5_capraz,P5_maddeshift,TBDY,16.4.1,YANLIS,40,24,1.666667,0
36,A_rastgele,P4_uydurma,P4_belge,6331,0,YANLIS,12,12,1.000000,0
37,B_bayrakli,P5_capraz,P5_maddeshift,TBDY,16.13.2,YANLIS,40,24,1.666667,0
42,A_rastgele,P6_guncellik,P6_degismedi,6331,6,YANLIS,114,18,6.333333,0
47,A_rastgele,P1_dogrudan,P1_verbatim,TBDY,11.2.5,DOGRU,153,22,6.954545,0
48,B_bayrakli,P1_dogrudan,P1_madde_atifli,6331,4,DOGRU,10,8,1.250000,0
50,A_rastgele,P5_capraz,P5_maddeshift,TBDY,17.9.3,YANLIS,81,16,5.062500,0
65,A_rastgele,P5_capraz,P5_maddeshift,TBDY,16.5.2.1,YANLIS,81,16,5.062500,0
66,B_bayrakli,P6_guncellik,P6_yil,6331,24,DOGRU,5,5,1.000000,0
76,A_rastgele,P1_dogrudan,P1_verbatim,6331,13,DOGRU,153,22,6.954545,0
77,A_rastgele,P4_uydurma,P4_belge,6331,0,YANLIS,12,12,1.000000,0
78,A_rastgele,P1_dogrudan,P1_verbatim,TBDY,16.4.3,DOGRU,153,22,6.954545,0
80,B_bayrakli,P2_sayisal,P2_swap,TBDY,16.6.2,YANLIS,8,8,1.000000,0
83,A_rastgele,P1_dogrudan,P1_verbatim,YDUY,26,DOGRU,153,22,6.954545,0
