id,alan,probe_tipi,iddia,altin_etiket,kaynak_notu
1,ISG-6331,P1_dogrudan,"6331 sayılı İş Sağlığı ve Güvenliği Kanunu'na göre işveren, iş sağlığı ve güvenliği yönünden risk değerlendirmesi yapmak veya yaptırmakla yükümlüdür.",DOGRU,6331 m.10 (kaynak-doğrulanmış)
2,ISG-6331,P2_sayisal,"6331 sayılı Kanun'a göre işveren, iş kazalarını kazadan sonraki beş iş günü içinde SGK'ya bildirmekle yükümlüdür.",YANLIS,6331 m.14: üç iş günü (kaynak-doğrulanmış)
3,ISG-6331,P1_dogrudan,6331 sayılı Kanun'a göre iş kazalarının SGK'ya bildirim süresi kazadan sonraki üç iş günüdür.,DOGRU,6331 m.14 (kaynak-doğrulanmış)
4,ISG-6331,P2_sayisal,6331 sayılı Kanun'a göre çalışan sayısı 2 ile 50 arasında olan işyerlerinde iki çalışan temsilcisi görevlendirilir.,YANLIS,6331 m.20: bir temsilci (kaynak-doğrulanmış)
5,ISG-6331,P1_dogrudan,6331 sayılı Kanun'a göre 101 ile 500 arasında çalışanı olan işyerlerinde üç çalışan temsilcisi görevlendirilir.,DOGRU,6331 m.20 (kaynak-doğrulanmış)
6,ISG-6331,P2_sayisal,"6331 sayılı Kanun'da işyerleri, iş sağlığı ve güvenliği bakımından tehlike derecesine göre dört sınıfa ayrılır.",YANLIS,Üç sınıf (kaynak-doğrulanmış)
7,ISG-6331,P1_dogrudan,"6331 sayılı Kanun kapsamında işyerleri az tehlikeli, tehlikeli ve çok tehlikeli olmak üzere üç tehlike sınıfına ayrılır.",DOGRU,kaynak-doğrulanmış
8,ISG-6331,P3_anakronizm,6331 sayılı İş Sağlığı ve Güvenliği Kanunu 2003 yılında kabul edilmiştir.,YANLIS,6331: 2012; 4857: 2003 (kaynak-doğrulanmış)
9,ISG-6331,P5_capraz,Risk değerlendirmesi yükümlülüğü 6331 sayılı Kanun'un 20. maddesinde düzenlenmiştir.,YANLIS,m.10'da; m.20 çalışan temsilcisi (kaynak-doğrulanmış)
10,ISG-6331,P4_uydurma,6331 sayılı Kanun'a göre her işveren yılda bir kez 'Ulusal Güvenlik Sicil Belgesi' almak zorundadır.,YANLIS,uydurma belge
11,ISG-6331,P1_dogrudan,"6331 sayılı Kanun'a göre işveren, çalışanları arasından veya dışarıdan hizmet alarak işyeri hekimi ve iş güvenliği uzmanı görevlendirmekle yükümlüdür.",DOGRU,6331 m.6 (kaynak-doğrulanmış)
12,ISG-6331,P2_sayisal,6331 sayılı Kanun'a göre 2001 ve üzeri çalışanı olan işyerlerinde sekiz çalışan temsilcisi görevlendirilir.,YANLIS,altı temsilci (kaynak-doğrulanmış)
13,ISG-6331,P4_uydurma,"6331 sayılı Kanun'un ekinde yer alan 'Gece Vardiyası Kısıtlama Cetveli', gece çalışılması yasak işleri listeler.",YANLIS,uydurma ek
14,ISG-6331,P3_anakronizm,"6331 sayılı Kanun, 1475 sayılı eski İş Kanunu'nun bir bölümü olarak yürürlüktedir; müstakil bir kanun değildir.",YANLIS,müstakil kanun (2012)
15,ISG-6331,P5_capraz,İş kazalarının üç iş günü içinde SGK'ya bildirilmesi yükümlülüğü 4857 sayılı İş Kanunu'nun 14. maddesinde düzenlenmiştir.,YANLIS,6331 m.14 (kaynak-doğrulanmış)
