model,kosul,n_cevap,kapsam,baskin_etiket,baskin_pay,dogru_pay,acc_DOGRU,acc_YANLIS,dengeli_dogruluk,youden_J,elendi,gerekce,oy_kullandi
gemma3:12b,E1,480,0.9877,YANLIS,0.5188,0.4813,0.5477,0.5858,0.5667,0.1335,HAYIR,gecerli,EVET
gemma3:12b,E2,486,1.0000,YANLIS,0.7428,0.2572,0.2798,0.7654,0.5226,0.0453,EVET,bilgisiz (J=0.05),HAYIR
gemma3:4b,E1,436,0.8971,DOGRU,0.6055,0.6055,0.6606,0.4495,0.5550,0.1101,HAYIR,gecerli,HAYIR
gemma3:4b,E2,484,0.9959,DOGRU,0.6198,0.6198,0.6901,0.4504,0.5702,0.1405,HAYIR,gecerli,EVET
llama3.2:3b-instruct-q5_K_M,E1,448,0.9218,YANLIS,0.6562,0.3438,0.3571,0.6681,0.5126,0.0252,EVET,bilgisiz (J=0.03),HAYIR
llama3.2:3b-instruct-q5_K_M,E2,467,0.9609,YANLIS,1.0000,0.0000,0.0000,1.0000,0.5000,0.0000,EVET,dejenere (YANLIS %100); bilgisiz (J=0.00),HAYIR
qwen2.5:14b-instruct,E1,100,0.2058,DOGRU,0.8100,0.8100,0.8113,0.1915,0.5014,0.0028,EVET,dusuk kapsam (21%); bilgisiz (J=0.00),HAYIR
qwen2.5:14b-instruct,E2,486,1.0000,DOGRU,0.5658,0.5658,0.6296,0.4979,0.5638,0.1276,HAYIR,gecerli,EVET
qwen2.5:7b-instruct-q4_K_M,E1,7,0.0144,DOGRU,0.5714,0.5714,0.6667,0.5000,0.5833,0.1667,EVET,dusuk kapsam (1%),HAYIR
qwen2.5:7b-instruct-q4_K_M,E2,486,1.0000,DOGRU,0.8807,0.8807,0.8477,0.0864,0.4671,-0.0658,EVET,dejenere (DOGRU %88); bilgisiz (J=-0.07),HAYIR
